Fechas,Lerma,Bravo,Balsas
2020-01-01,13.1389952,43.89104,35.962336
2020-01-02,12.9690944,39.926688,33.98016
2020-01-03,25.0320512,46.439552,69.659328
2020-01-04,62.863296,90.61376,166.785952
2020-01-05,44.174208,105.904832,161.688928
2020-01-06,23.644528,89.19792,106.754336
2020-01-07,19.1987904,73.62368,88.631584
2020-01-08,16.3104768,62.013792,73.906848
2020-01-09,14.2150336,50.687072,60.314784
2020-01-10,13.0540448,44.457376,48.704896
2020-01-11,25.5700704,43.607872,47.572224
2020-01-12,52.952416,90.61376,92.0296
2020-01-13,67.393984,109.586016,118.93056
2020-01-14,115.815712,92.0296,181.510688
2020-01-15,137.053312,104.488992,173.298816
2020-01-16,80.70288,133.08896,190.005728
2020-01-17,43.89104,111.85136,183.776032
2020-01-18,30.865312,86.932576,162.8216
2020-01-19,30.865312,71.924672,133.655296
2020-01-20,28.599968,62.580128,111.001856
2020-01-21,22.2853216,55.500928,90.61376
2020-01-22,19.538592,50.97024,75.322688
2020-01-23,18.6324544,47.855392,66.261312
2020-01-24,29.449472,49.5544,68.526656
2020-01-25,31.431648,52.102912,71.358336
2020-01-26,22.0587872,49.5544,63.7128
2020-01-27,19.3120576,47.289056,59.46528
2020-01-28,17.3581984,45.873216,56.916768
2020-01-29,15.6308736,43.607872,53.518752
2020-01-30,14.7530528,48.988064,60.031616
2020-01-31,13.9318656,52.102912,60.314784
2020-02-01,13.3655296,49.837568,56.067264
2020-02-02,12.74256,46.439552,51.819744
2020-02-03,12.0063232,42.4752,47.289056
2020-02-04,11.3833536,39.64352,43.607872
2020-02-05,14.2716672,46.439552,48.704896
2020-02-06,112.984032,114.68304,111.568192
2020-02-07,223.70272,244.373984,193.403744
2020-02-08,94.578112,263.063072,215.490848
2020-02-09,48.13856,176.696832,194.819584
2020-02-10,33.98016,130.823616,190.005728
2020-02-11,37.095008,102.789984,191.421568
2020-02-12,41.342528,83.53456,132.522624
2020-02-13,36.528672,77.588032,91.746432
2020-02-14,37.661344,86.083072,86.083072
2020-02-15,27.2690784,75.605856,76.172192
2020-02-16,23.8427456,71.641504,77.8712
2020-02-17,24.6639328,101.374144,96.560288
2020-02-18,53.80192,101.94048,92.879104
2020-02-19,144.982016,88.631584,86.36624
2020-02-20,146.397856,84.100896,84.9504
2020-02-21,175.56416,114.966208,135.354304
2020-02-22,85.233568,129.407776,143.849344
2020-02-23,49.837568,110.43552,147.24736
2020-02-24,43.607872,97.69296,177.546336
2020-02-25,86.083072,126.576096,194.819584
2020-02-26,66.261312,157.724576,144.41568
2020-02-27,42.192032,124.027584,101.090976
2020-02-28,32.281152,93.728608,88.914752
2020-02-29,27.5805632,79.28704,85.799904
2020-03-01,25.9948224,69.092992,80.70288
2020-03-02,24.5789824,62.29696,68.243488
2020-03-03,39.64352,59.182112,60.597952
2020-03-04,131.67312,66.261312,69.659328
2020-03-05,297.3264,146.681024,161.122592
2020-03-06,209.827488,258.249216,222.003712
2020-03-07,81.269216,272.690784,249.18784
2020-03-08,51.253408,224.835392,297.3264
2020-03-09,39.360352,140.451328,319.97984
2020-03-10,33.696992,103.639488,247.488832
2020-03-11,30.582144,86.932576,137.33648
2020-03-12,28.599968,78.437536,94.011776
2020-03-13,26.1647232,74.473184,86.932576
2020-03-14,23.8710624,69.37616,78.720704
2020-03-15,22.1720544,64.845472,72.20784
2020-03-16,20.6995808,60.88112,66.827648
2020-03-17,19.6518592,57.766272,62.580128
2020-03-18,18.830672,55.21776,59.46528
2020-03-19,18.1510688,53.235584,56.6336
2020-03-20,17.1882976,51.536576,54.085088
2020-03-21,16.28216,49.837568,51.819744
2020-03-22,16.28216,48.421728,49.837568
2020-03-23,20.52968,46.72272,48.13856
2020-03-24,24.8621504,45.590048,49.271232
2020-03-25,20.0482944,45.023712,50.403904
2020-03-26,17.1599808,43.324704,51.819744
2020-03-27,14.9795872,40.776192,54.368256
2020-03-28,13.9601824,38.510848,58.04944
2020-03-29,12.9124608,37.095008,56.6336
2020-03-30,11.9496896,35.396,45.873216
2020-03-31,12.3744416,35.679168,39.64352
2020-04-01,12.7991936,47.005888,44.740544
2020-04-02,11.2984032,42.758368,40.776192
2020-04-03,10.2506816,37.944512,38.22768
2020-04-04,9.7126624,35.112832,35.112832
2020-04-05,9.0330592,33.130656,33.130656
2020-04-06,8.49504,31.997984,31.14848
2020-04-07,8.1552384,30.582144,29.449472
2020-04-08,10.3073152,30.298976,30.015808
2020-04-09,16.0556256,31.997984,31.14848
2020-04-10,13.733648,31.14848,29.449472
2020-04-11,9.9391968,29.449472,28.883136
2020-04-12,8.49504,26.8726432,25.5983872
2020-04-13,47.005888,39.360352,34.546496
2020-04-14,36.81184,55.21776,48.704896
2020-04-15,17.2166144,48.704896,60.88112
2020-04-16,12.2611744,43.041536,61.447456
2020-04-17,10.1090976,36.245504,53.80192
2020-04-18,9.1463264,30.865312,51.536576
2020-04-19,32.56432,27.9486816,37.944512
2020-04-20,356.79168,43.607872,44.174208
2020-04-21,221.720544,56.916768,68.526656
