Fechas,Montebello,Arareco,Chapala
2020-04-18 11:00,662526777.6,538586707.2,710484480
2020-04-18 11:15,662526777.6,538488028.8,710731176
2020-04-18 11:30,662526777.6,538586707.2,710977872
2020-04-18 11:45,662526777.6,538586707.2,710977872
2020-04-18 12:00,662526777.6,538685385.6,711224568
2020-04-18 12:15,662526777.6,538685385.6,710731176
2020-04-18 12:30,662526777.6,538685385.6,710731176
2020-04-18 12:45,662526777.6,538685385.6,710484480
2020-04-18 13:00,662526777.6,538685385.6,710237784
2020-04-18 13:15,662526777.6,538784064,709991088
2020-04-18 13:30,662526777.6,538685385.6,709991088
2020-04-18 13:45,662526777.6,538784064,709991088
2020-04-18 14:00,662526777.6,538784064,709991088
2020-04-18 14:15,662082724.8,538784064,709991088
2020-04-18 14:30,662526777.6,538784064,709991088
2020-04-18 14:45,662082724.8,538784064,709744392
2020-04-18 15:00,662526777.6,538882742.4,709497696
2020-04-18 15:15,662082724.8,538784064,709374348
2020-04-18 15:30,662526777.6,538882742.4,708880956
2020-04-18 15:45,662082724.8,538882742.4,708387564
2020-04-18 16:00,662082724.8,538882742.4,707894172
2020-04-18 16:15,662526777.6,538882742.4,707647476
2020-04-18 16:30,662082724.8,538882742.4,707400780
2020-04-18 16:45,662082724.8,538981420.8,707277432
2020-04-18 17:00,662082724.8,538882742.4,707400780
2020-04-18 17:15,662082724.8,538981420.8,707400780
2020-04-18 17:30,662082724.8,538981420.8,707277432
2020-04-18 17:45,662082724.8,538981420.8,707277432
2020-04-18 18:00,662082724.8,538981420.8,707030736
2020-04-18 18:15,662082724.8,538981420.8,707277432
2020-04-18 18:30,662082724.8,538981420.8,707030736
2020-04-18 18:45,662082724.8,538981420.8,706537344
2020-04-18 19:00,662082724.8,538981420.8,706043952
2020-04-18 19:15,662082724.8,538981420.8,705797256
2020-04-18 19:30,662082724.8,539080099.2,705303864
2020-04-18 19:45,662082724.8,538981420.8,705057168
2020-04-18 20:00,662082724.8,539080099.2,704687124
2020-04-18 20:15,662082724.8,539080099.2,704193732
2020-04-18 20:30,662082724.8,539080099.2,704193732
2020-04-18 20:45,662082724.8,539080099.2,704193732
2020-04-18 21:00,662082724.8,539080099.2,704193732
2020-04-18 21:15,662082724.8,539080099.2,704440428
